Country,State,Year,Sector,"Number Of Tuberculosis (Tb) Patients With Known Tobacco Usage Status (UOM:Number), Scaling Factor:1","Percentage Of Tuberculosis (Tb) Patients With Known Tobacco Usage Status (UOM:%(Percentage)), Scaling Factor:1","Number Of Tobacco Users Identified Amongst Screened (UOM:Number), Scaling Factor:1","Percentage Of Tobacco Users Identified Amongst Screened (UOM:%(Percentage)), Scaling Factor:1","Number Of Tobacco Users Linked With Tobacco Cessation Centres (UOM:Number), Scaling Factor:1","Percentage Of Tobacco Users Linked With Tobacco Cessation Centres (UOM:%(Percentage)), Scaling Factor:1","Number Of Tuberculosis (Tb) Diabetes Mellitus (Dm) Patients Linked To Diabetic Treatment (UOM:Number), Scaling Factor:1","Number Of Tuberculosis (Tb) Diabetes Comorbid Patients (UOM:Number), Scaling Factor:1","Number Of Tuberculosis (Tb) Patients Notified (UOM:Number), Scaling Factor:1","Number Of Tuberculosis (Tb) Patients With Glucose Know Blood Status (UOM:Number), Scaling Factor:1"
India,Ladakh,"Calendar Year (Jan - Dec), 2022",Private,17.0,71.0,0.0,0.0,,,,,,
India,Lakshadweep,"Calendar Year (Jan - Dec), 2022",Public,20.0,100.0,0.0,0.0,,,,,,
India,Lakshadweep,"Calendar Year (Jan - Dec), 2022",Private,,,,,,,,,,
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2022",Public,75801.0,63.0,12259.0,16.0,2061.0,17.0,,,,
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2022",Private,26134.0,55.0,837.0,3.0,187.0,22.0,,,,
India,Maharashtra,"Calendar Year (Jan - Dec), 2022",Public,105457.0,83.0,10270.0,10.0,3415.0,33.0,,,,
India,Maharashtra,"Calendar Year (Jan - Dec), 2022",Private,47223.0,67.0,1339.0,3.0,335.0,25.0,,,,
India,Manipur,"Calendar Year (Jan - Dec), 2022",Public,1112.0,66.0,238.0,21.0,41.0,17.0,,,,
India,Manipur,"Calendar Year (Jan - Dec), 2022",Private,77.0,41.0,14.0,18.0,2.0,14.0,,,,
India,Meghalaya,"Calendar Year (Jan - Dec), 2022",Public,3117.0,81.0,1179.0,38.0,217.0,18.0,,,,
India,Meghalaya,"Calendar Year (Jan - Dec), 2022",Private,235.0,66.0,156.0,66.0,12.0,8.0,,,,
India,Mizoram,"Calendar Year (Jan - Dec), 2022",Public,1517.0,95.0,539.0,36.0,332.0,62.0,,,,
India,Mizoram,"Calendar Year (Jan - Dec), 2022",Private,192.0,100.0,80.0,42.0,57.0,71.0,,,,
India,Nagaland,"Calendar Year (Jan - Dec), 2022",Public,2610.0,83.0,396.0,15.0,244.0,62.0,,,,
India,Nagaland,"Calendar Year (Jan - Dec), 2022",Private,394.0,74.0,69.0,18.0,34.0,49.0,,,,
India,Odisha,"Calendar Year (Jan - Dec), 2022",Public,44875.0,93.0,8567.0,19.0,3637.0,42.0,,,,
India,Odisha,"Calendar Year (Jan - Dec), 2022",Private,3526.0,89.0,206.0,6.0,121.0,59.0,,,,
India,Puducherry,"Calendar Year (Jan - Dec), 2022",Public,1375.0,98.0,213.0,15.0,208.0,98.0,,,,
India,Puducherry,"Calendar Year (Jan - Dec), 2022",Private,,,,,,,,,,
India,Punjab,"Calendar Year (Jan - Dec), 2022",Public,32706.0,85.0,1385.0,4.0,251.0,18.0,,,,
India,Punjab,"Calendar Year (Jan - Dec), 2022",Private,8748.0,64.0,150.0,2.0,2.0,1.0,,,,
India,Rajasthan,"Calendar Year (Jan - Dec), 2022",Public,84291.0,78.0,7215.0,9.0,2090.0,29.0,,,,
India,Rajasthan,"Calendar Year (Jan - Dec), 2022",Private,31990.0,74.0,2401.0,8.0,641.0,27.0,,,,
India,Sikkim,"Calendar Year (Jan - Dec), 2022",Public,794.0,59.0,69.0,9.0,2.0,3.0,,,,
India,Sikkim,"Calendar Year (Jan - Dec), 2022",Private,72.0,73.0,3.0,4.0,3.0,100.0,,,,
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2022",Public,61338.0,89.0,11602.0,19.0,2558.0,22.0,,,,
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2022",Private,11624.0,74.0,807.0,7.0,117.0,14.0,,,,
India,Telangana,"Calendar Year (Jan - Dec), 2022",Public,41637.0,94.0,5618.0,13.0,2549.0,45.0,,,,
India,Telangana,"Calendar Year (Jan - Dec), 2022",Private,15167.0,90.0,943.0,6.0,522.0,55.0,,,,
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2022",Public,433.0,61.0,53.0,12.0,40.0,75.0,,,,
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2022",Private,40.0,80.0,1.0,3.0,1.0,100.0,,,,
India,Tripura,"Calendar Year (Jan - Dec), 2022",Public,1991.0,72.0,266.0,13.0,17.0,6.0,,,,
India,Tripura,"Calendar Year (Jan - Dec), 2022",Private,9.0,69.0,1.0,11.0,0.0,0.0,,,,
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2022",Public,233920.0,67.0,23646.0,10.0,4803.0,20.0,,,,
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2022",Private,48157.0,42.0,4351.0,9.0,309.0,7.0,,,,
India,Uttarakhand,"Calendar Year (Jan - Dec), 2022",Public,14286.0,74.0,1407.0,10.0,415.0,29.0,,,,
India,Uttarakhand,"Calendar Year (Jan - Dec), 2022",Private,2525.0,58.0,143.0,6.0,41.0,29.0,,,,
India,West Bengal,"Calendar Year (Jan - Dec), 2022",Public,70889.0,86.0,15654.0,22.0,4839.0,31.0,,,,
India,West Bengal,"Calendar Year (Jan - Dec), 2022",Private,7706.0,84.0,1060.0,14.0,435.0,41.0,,,,
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2021",Public,393.0,81.0,78.0,20.0,15.0,19.0,,,,
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2021",Private,,,,,,,,,,
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2021",Public,42873.0,90.0,7098.0,17.0,1271.0,18.0,,,,
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2021",Private,15135.0,88.0,966.0,6.0,182.0,19.0,,,,
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2021",Public,2078.0,80.0,171.0,8.0,75.0,44.0,,,,
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2021",Private,4.0,100.0,,0.0,,,,,,
India,Assam,"Calendar Year (Jan - Dec), 2021",Public,19926.0,63.0,6024.0,30.0,1032.0,17.0,,,,
India,Assam,"Calendar Year (Jan - Dec), 2021",Private,1830.0,50.0,338.0,18.0,125.0,37.0,,,,
India,Bihar,"Calendar Year (Jan - Dec), 2021",Public,29490.0,54.0,4098.0,14.0,683.0,17.0,,,,
India,Bihar,"Calendar Year (Jan - Dec), 2021",Private,17500.0,37.0,1925.0,11.0,53.0,3.0,,,,
India,Chandigarh,"Calendar Year (Jan - Dec), 2021",Public,2402.0,89.0,213.0,9.0,74.0,35.0,,,,
India,Chandigarh,"Calendar Year (Jan - Dec), 2021",Private,174.0,62.0,10.0,6.0,2.0,20.0,,,,
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2021",Public,18647.0,84.0,6033.0,32.0,3159.0,52.0,,,,
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2021",Private,3247.0,45.0,388.0,12.0,99.0,26.0,,,,
India,Delhi,"Calendar Year (Jan - Dec), 2021",Public,33722.0,58.0,2636.0,8.0,699.0,27.0,,,,
India,Delhi,"Calendar Year (Jan - Dec), 2021",Private,6038.0,33.0,196.0,3.0,18.0,9.0,,,,
India,Goa,"Calendar Year (Jan - Dec), 2021",Public,1172.0,88.0,59.0,5.0,6.0,10.0,,,,
India,Goa,"Calendar Year (Jan - Dec), 2021",Private,46.0,15.0,,0.0,,,,,,
India,Gujarat,"Calendar Year (Jan - Dec), 2021",Public,75868.0,94.0,13693.0,18.0,4706.0,34.0,,,,
India,Gujarat,"Calendar Year (Jan - Dec), 2021",Private,32621.0,84.0,3016.0,9.0,607.0,20.0,,,,
India,Haryana,"Calendar Year (Jan - Dec), 2021",Public,36169.0,78.0,2218.0,6.0,728.0,33.0,,,,
India,Haryana,"Calendar Year (Jan - Dec), 2021",Private,11722.0,64.0,618.0,5.0,92.0,15.0,,,,
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2021",Public,12393.0,95.0,1831.0,15.0,1129.0,62.0,,,,
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2021",Private,525.0,81.0,54.0,10.0,38.0,70.0,,,,
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2021",Public,6097.0,73.0,583.0,10.0,220.0,38.0,,,,
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2021",Private,337.0,56.0,20.0,6.0,3.0,15.0,,,,
India,Jharkhand,"Calendar Year (Jan - Dec), 2021",Public,19709.0,64.0,3179.0,16.0,968.0,30.0,,,,
India,Jharkhand,"Calendar Year (Jan - Dec), 2021",Private,3493.0,23.0,322.0,9.0,30.0,9.0,,,,
India,Karnataka,"Calendar Year (Jan - Dec), 2021",Public,44485.0,85.0,8452.0,19.0,2306.0,27.0,,,,
India,Karnataka,"Calendar Year (Jan - Dec), 2021",Private,8082.0,63.0,446.0,6.0,101.0,23.0,,,,
India,Kerala,"Calendar Year (Jan - Dec), 2021",Public,14721.0,82.0,2202.0,15.0,1321.0,60.0,,,,
India,Kerala,"Calendar Year (Jan - Dec), 2021",Private,2021.0,68.0,151.0,7.0,92.0,61.0,,,,
India,Ladakh,"Calendar Year (Jan - Dec), 2021",Public,175.0,76.0,1.0,1.0,,,,,,
India,Ladakh,"Calendar Year (Jan - Dec), 2021",Private,5.0,29.0,,0.0,,,,,,
India,Lakshadweep,"Calendar Year (Jan - Dec), 2021",Public,19.0,100.0,2.0,11.0,2.0,100.0,,,,
India,Lakshadweep,"Calendar Year (Jan - Dec), 2021",Private,,,,0.0,,,,,,
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2021",Public,71880.0,66.0,11476.0,16.0,1807.0,16.0,,,,
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2021",Private,12526.0,42.0,892.0,7.0,168.0,19.0,,,,
India,Maharashtra,"Calendar Year (Jan - Dec), 2021",Public,84982.0,82.0,9857.0,12.0,3109.0,32.0,,,,
India,Maharashtra,"Calendar Year (Jan - Dec), 2021",Private,33247.0,63.0,1225.0,4.0,246.0,20.0,,,,
India,Manipur,"Calendar Year (Jan - Dec), 2021",Public,749.0,53.0,233.0,31.0,29.0,12.0,,,,
India,Manipur,"Calendar Year (Jan - Dec), 2021",Private,8.0,4.0,2.0,25.0,,0.0,,,,
India,Meghalaya,"Calendar Year (Jan - Dec), 2021",Public,3011.0,81.0,1144.0,38.0,113.0,10.0,,,,
India,Meghalaya,"Calendar Year (Jan - Dec), 2021",Private,273.0,65.0,212.0,78.0,17.0,8.0,,,,
India,Mizoram,"Calendar Year (Jan - Dec), 2021",Public,1663.0,77.0,658.0,40.0,338.0,51.0,,,,
India,Mizoram,"Calendar Year (Jan - Dec), 2021",Private,44.0,21.0,22.0,50.0,3.0,14.0,,,,
India,Nagaland,"Calendar Year (Jan - Dec), 2021",Public,2121.0,75.0,258.0,12.0,66.0,26.0,,,,
India,Nagaland,"Calendar Year (Jan - Dec), 2021",Private,311.0,46.0,61.0,20.0,5.0,8.0,,,,
India,Odisha,"Calendar Year (Jan - Dec), 2021",Public,38653.0,92.0,8186.0,21.0,2884.0,35.0,,,,
India,Odisha,"Calendar Year (Jan - Dec), 2021",Private,3142.0,87.0,232.0,7.0,94.0,41.0,,,,
India,Puducherry,"Calendar Year (Jan - Dec), 2021",Public,1231.0,97.0,201.0,16.0,198.0,99.0,,,,
India,Puducherry,"Calendar Year (Jan - Dec), 2021",Private,1.0,50.0,,0.0,,,,,,
India,Punjab,"Calendar Year (Jan - Dec), 2021",Public,32306.0,89.0,1656.0,5.0,220.0,13.0,,,,
India,Punjab,"Calendar Year (Jan - Dec), 2021",Private,8162.0,75.0,155.0,2.0,12.0,8.0,,,,
India,Rajasthan,"Calendar Year (Jan - Dec), 2021",Public,75965.0,78.0,6484.0,9.0,1495.0,23.0,,,,
India,Rajasthan,"Calendar Year (Jan - Dec), 2021",Private,29379.0,73.0,2011.0,7.0,401.0,20.0,,,,
India,Sikkim,"Calendar Year (Jan - Dec), 2021",Public,877.0,69.0,131.0,15.0,11.0,8.0,,,,
India,Sikkim,"Calendar Year (Jan - Dec), 2021",Private,60.0,69.0,8.0,13.0,5.0,63.0,,,,
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2021",Public,49244.0,86.0,10085.0,20.0,2503.0,25.0,,,,
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2021",Private,9841.0,66.0,862.0,9.0,130.0,15.0,,,,
India,Telangana,"Calendar Year (Jan - Dec), 2021",Public,37607.0,91.0,5999.0,16.0,2566.0,43.0,,,,
India,Telangana,"Calendar Year (Jan - Dec), 2021",Private,19188.0,89.0,1106.0,6.0,439.0,40.0,,,,
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2021",Public,484.0,68.0,71.0,15.0,49.0,69.0,,,,
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2021",Private,49.0,65.0,5.0,10.0,4.0,80.0,,,,
India,Tripura,"Calendar Year (Jan - Dec), 2021",Public,1476.0,67.0,229.0,16.0,18.0,8.0,,,,
India,Tripura,"Calendar Year (Jan - Dec), 2021",Private,,0.0,,,,,,,,
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2021",Public,154597.0,58.0,17534.0,11.0,2759.0,16.0,,,,
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2021",Private,34574.0,32.0,3683.0,11.0,238.0,6.0,,,,
India,Uttarakhand,"Calendar Year (Jan - Dec), 2021",Public,7502.0,49.0,1049.0,14.0,309.0,29.0,,,,
India,Uttarakhand,"Calendar Year (Jan - Dec), 2021",Private,760.0,16.0,80.0,11.0,12.0,15.0,,,,
India,West Bengal,"Calendar Year (Jan - Dec), 2021",Public,58775.0,82.0,13800.0,23.0,4184.0,30.0,,,,
India,West Bengal,"Calendar Year (Jan - Dec), 2021",Private,6046.0,76.0,833.0,14.0,281.0,34.0,,,,
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",Public,,,,,,,19.0,46.0,601.0,378.0
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",Private,,,,,,,1.0,1.0,12.0,2.0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",Public,,,,,,,2398.0,11710.0,75931.0,64126.0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",Private,,,,,,,196.0,1386.0,23973.0,16841.0
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",Public,,,,,,,92.0,211.0,2974.0,1490.0
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",Private,,,,,,,,,50.0,11.0
India,Assam,"Calendar Year (Jan - Dec), 2020",Public,,,,,,,1170.0,7309.0,43055.0,22479.0
India,Assam,"Calendar Year (Jan - Dec), 2020",Private,,,,,,,8.0,105.0,5710.0,792.0
India,Bihar,"Calendar Year (Jan - Dec), 2020",Public,,,,,,,1222.0,6415.0,80294.0,45734.0
India,Bihar,"Calendar Year (Jan - Dec), 2020",Private,,,,,,,34.0,729.0,46122.0,12537.0
India,Chandigarh,"Calendar Year (Jan - Dec), 2020",Public,,,,,,,78.0,358.0,3471.0,3161.0
India,Chandigarh,"Calendar Year (Jan - Dec), 2020",Private,,,,,,,,2.0,86.0,36.0
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2020",Public,,,,,,,4577.0,8338.0,32723.0,26206.0
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2020",Private,,,,,,,52.0,375.0,11068.0,3693.0
India,Delhi,"Calendar Year (Jan - Dec), 2020",Public,,,,,,,585.0,2315.0,71414.0,31849.0
India,Delhi,"Calendar Year (Jan - Dec), 2020",Private,,,,,,,20.0,255.0,26328.0,5102.0
India,Goa,"Calendar Year (Jan - Dec), 2020",Public,,,,,,,9.0,80.0,1883.0,1379.0
India,Goa,"Calendar Year (Jan - Dec), 2020",Private,,,,,,,,,461.0,24.0
India,Gujarat,"Calendar Year (Jan - Dec), 2020",Public,,,,,,,4433.0,15607.0,103012.0,92323.0
India,Gujarat,"Calendar Year (Jan - Dec), 2020",Private,,,,,,,303.0,3514.0,53159.0,34723.0
India,Haryana,"Calendar Year (Jan - Dec), 2020",Public,,,,,,,793.0,2678.0,54841.0,38050.0
India,Haryana,"Calendar Year (Jan - Dec), 2020",Private,,,,,,,100.0,498.0,19893.0,7397.0
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2020",Public,,,,,,,741.0,2036.0,16933.0,14489.0
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2020",Private,,,,,,,24.0,63.0,1055.0,827.0
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2020",Public,,,,,,,152.587790167649229759600,458.741497362996722802900,10911.983250707017994859600,6467.374798644209661349200
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2020",Private,,,,,,,2.934380580147100572300,23.475044641176804578400,751.201428517657746508800,348.213162177455934579600
India,Jharkhand,"Calendar Year (Jan - Dec), 2020",Public,,,,,,,1143.0,4443.0,44696.0,27940.0
India,Jharkhand,"Calendar Year (Jan - Dec), 2020",Private,,,,,,,21.0,81.0,12736.0,1387.0
India,Karnataka,"Calendar Year (Jan - Dec), 2020",Public,,,,,,,2610.0,10755.0,72990.0,56450.0
India,Karnataka,"Calendar Year (Jan - Dec), 2020",Private,,,,,,,39.0,381.0,16907.0,5009.0
India,Kerala,"Calendar Year (Jan - Dec), 2020",Public,,,,,,,1843.0,2898.0,22223.0,17068.0
India,Kerala,"Calendar Year (Jan - Dec), 2020",Private,,,,,,,109.0,150.0,3425.0,1772.0
India,Ladakh,"Calendar Year (Jan - Dec), 2020",Public,,,,,,,3.412209832350770240400,10.258502637003277197100,244.016749292982005140400,144.625201355790338650800
India,Ladakh,"Calendar Year (Jan - Dec), 2020",Private,,,,,,,0.065619419852899427700,0.524955358823195421600,16.798571482342253491200,7.786837822544065420400
India,Lakshadweep,"Calendar Year (Jan - Dec), 2020",Public,,,,,,,1.0,1.0,16.0,16.0
India,Lakshadweep,"Calendar Year (Jan - Dec), 2020",Private,,,,,,,,,,
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2020",Public,,,,,,,1843.0,11703.0,146677.0,82599.0
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2020",Private,,,,,,,118.0,897.0,40834.0,12674.0
India,Maharashtra,"Calendar Year (Jan - Dec), 2020",Public,,,,,,,3341.0,13982.0,148422.0,111844.0
India,Maharashtra,"Calendar Year (Jan - Dec), 2020",Private,,,,,,,254.0,1395.0,76144.0,35018.0
India,Manipur,"Calendar Year (Jan - Dec), 2020",Public,,,,,,,45.0,288.0,2277.0,910.0
India,Manipur,"Calendar Year (Jan - Dec), 2020",Private,,,,,,,,8.0,370.0,19.0
India,Meghalaya,"Calendar Year (Jan - Dec), 2020",Public,,,,,,,238.0,1110.0,4772.0,3017.0
India,Meghalaya,"Calendar Year (Jan - Dec), 2020",Private,,,,,,,6.0,77.0,617.0,129.0
India,Mizoram,"Calendar Year (Jan - Dec), 2020",Public,,,,,,,245.0,750.0,2931.0,1907.0
India,Mizoram,"Calendar Year (Jan - Dec), 2020",Private,,,,,,,,,60.0,4.0
India,Nagaland,"Calendar Year (Jan - Dec), 2020",Public,,,,,,,70.0,440.0,4075.0,2419.0
India,Nagaland,"Calendar Year (Jan - Dec), 2020",Private,,,,,,,9.0,45.0,707.0,177.0
India,Odisha,"Calendar Year (Jan - Dec), 2020",Public,,,,,,,2253.0,8337.0,49279.0,39704.0
India,Odisha,"Calendar Year (Jan - Dec), 2020",Private,,,,,,,81.0,283.0,4008.0,2804.0
India,Puducherry,"Calendar Year (Jan - Dec), 2020",Public,,,,,,,288.0,340.0,1657.0,1588.0
India,Puducherry,"Calendar Year (Jan - Dec), 2020",Private,,,,,,,,,6.0,3.0
India,Punjab,"Calendar Year (Jan - Dec), 2020",Public,,,,,,,336.0,1824.0,45911.0,37746.0
India,Punjab,"Calendar Year (Jan - Dec), 2020",Private,,,,,,,7.0,107.0,13626.0,8689.0
India,Rajasthan,"Calendar Year (Jan - Dec), 2020",Public,,,,,,,1192.0,6486.0,123004.0,78941.0
India,Rajasthan,"Calendar Year (Jan - Dec), 2020",Private,,,,,,,194.0,957.0,52421.0,19326.0
India,Sikkim,"Calendar Year (Jan - Dec), 2020",Public,,,,,,,10.0,148.0,1438.0,981.0
India,Sikkim,"Calendar Year (Jan - Dec), 2020",Private,,,,,,,,2.0,31.0,15.0
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2020",Public,,,,,,,3355.0,13406.0,85495.0,67099.0
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2020",Private,,,,,,,75.0,557.0,28018.0,5845.0
India,Telangana,"Calendar Year (Jan - Dec), 2020",Public,,,,,,,843.0,2771.0,49334.0,20362.0
India,Telangana,"Calendar Year (Jan - Dec), 2020",Private,,,,,,,39.0,199.0,22148.0,6666.0
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2020",Public,,,,,,,46.000000000000000000000,99.000000000000000000000,873.000000000000000000000,792.000000000000000000000
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2020",Private,,,,,,,6.000000000000000000000,9.000000000000000000000,156.000000000000000000000,109.000000000000000000000
India,Tripura,"Calendar Year (Jan - Dec), 2020",Public,,,,,,,10.0,281.0,3015.0,1308.0
India,Tripura,"Calendar Year (Jan - Dec), 2020",Private,,,,,,,1.0,1.0,12.0,2.0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2020",Public,,,,,,,3177.0,22401.0,355347.0,180949.0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2020",Private,,,,,,,136.0,1250.0,144409.0,18712.0
India,Uttarakhand,"Calendar Year (Jan - Dec), 2020",Public,,,,,,,352.0,1119.0,19882.0,8991.0
India,Uttarakhand,"Calendar Year (Jan - Dec), 2020",Private,,,,,,,10.0,34.0,5341.0,358.0
India,West Bengal,"Calendar Year (Jan - Dec), 2020",Public,,,,,,,4885.0,16500.0,94566.0,69701.0
India,West Bengal,"Calendar Year (Jan - Dec), 2020",Private,,,,,,,270.0,1068.0,16986.0,6563.0
